Team,Season,Week,Rank_Scoring_Offense,Current_Season_Scoring_Offense,Last 3_Scoring_Offense,Last 1_Scoring_Offense,At_Home_Scoring_Offense,Away_Scoring_Offense,Previous_Season_Scoring_Offense,Rank_Total_Offense,Current_Season_Total_Offense,Last 3_Total_Offense,Last 1_Total_Offense,At_Home_Total_Offense,Away_Total_Offense,Previous_Season_Total_Offense,Rank_Scoring_Defense,Current_Season_Scoring_Defense,Last 3_Scoring_Defense,Last 1_Scoring_Defense,At_Home_Scoring_Defense,Away_Scoring_Defense,Previous_Season_Scoring_Defense,Rank_Total_Defense,Current_Season_Total_Defense,Last 3_Total_Defense,Last 1_Total_Defense,At_Home_Total_Defense,Away_Total_Defense,Previous_Season_Total_Defense,Rank_Turnovers_Given,Current_Season_Turnovers_Given,Last 3_Turnovers_Given,Last 1_Turnovers_Given,At_Home_Turnovers_Given,Away_Turnovers_Given,Previous_Season_Turnovers_Given,Rank_Turnovers_Taken,Current_Season_Turnovers_Taken,Last 3_Turnovers_Taken,Last 1_Turnovers_Taken,At_Home_Turnovers_Taken,Away_Turnovers_Taken,Previous_Season_Turnovers_Taken,Rank_Last_5,Rating_Last_5,Hi_Last_5,Low_Last_5,Last_Last_5,Rank_Neutral_Site,Rating_Neutral_Site,Hi_Neutral_Site,Low_Neutral_Site,Last_Neutral_Site,Rank_SoS,Rating_SoS,Hi_SoS,Low_SoS,Last_SoS
Colorado St,2016,6,110,17.8,21.3,17.0,20.0,15.5,26.7,95,350.8,392.7,481.0,404.5,297.0,411.5,78,31.8,27.7,38.0,26.0,37.5,28.4,67,416.0,362.0,434.0,334.5,497.5,407.8,92,2.0,1.3,2.0,1.0,3.0,1.8,90,1.0,0.7,0.0,0.5,1.5,1.1,107,-17.3,19,126,103,128,-26.3,90,128,128,110,-12.3,38,114,99
Oregon St,2016,6,112,17.7,17.7,6.0,24.0,14.5,18.4,125,276.7,276.7,226.0,287.0,271.5,331.5,107,38.3,38.3,47.0,38.0,38.5,39.7,88,451.7,451.7,563.0,512.0,421.5,509.7,76,1.7,1.7,2.0,1.0,2.0,1.4,90,1.0,1.0,0.0,2.0,0.5,1.0,99,-11.5,44,117,82,98,--,60,124,80,61,-3.1,16,81,60
S Methodist,2016,6,113,17.5,12.0,20.0,3.0,22.3,26.2,76,396.3,337.7,288.0,320.0,421.7,372.9,90,34.8,39.3,45.0,33.0,35.3,45.5,97,471.8,497.7,368.0,589.0,432.7,481.8,119,2.8,3.3,4.0,2.0,3.0,2.1,7,2.5,2.3,3.0,1.0,3.0,1.1,102,-14.7,55,106,98,92,--,58,112,82,85,-6.9,45,96,81
Charlotte,2016,6,113,17.5,18.7,17.0,18.0,17.0,16.0,105,334.3,376.3,354.0,350.0,318.5,326.4,125,51.8,45.7,52.0,44.5,59.0,38.6,111,502.0,448.3,481.0,419.0,585.0,450.9,92,2.0,2.3,3.0,3.0,1.0,3.0,55,1.5,1.0,2.0,1.5,1.5,1.9,126,-29.0,96,128,122,116,--,79,128,117,128,-18.6,37,128,126
Florida Intl,2016,6,115,17.4,20.0,33.0,18.5,13.0,24.3,104,335.2,324.3,469.0,340.3,315.0,335.1,94,36.0,35.0,31.0,39.8,21.0,31.3,80,437.2,407.7,328.0,448.0,394.0,424.0,87,1.8,1.7,2.0,1.8,2.0,1.2,121,0.6,0.7,1.0,0.5,1.0,1.4,125,-26.8,98,126,126,110,--,78,121,112,106,-11.3,38,124,86
Purdue,2016,6,116,17.0,17.0,7.0,22.0,7.0,23.9,79,391.7,391.7,205.0,485.0,205.0,353.0,88,34.0,34.0,50.0,26.0,50.0,38.5,68,420.3,420.3,496.0,382.5,496.0,467.8,127,3.3,3.3,1.0,4.5,1.0,2.2,117,0.7,0.7,2.0,0.0,2.0,1.6,117,-20.2,82,118,101,118,--,66,118,66,119,-13.5,77,123,122
Idaho,2016,6,117,16.5,17.3,13.0,13.0,17.7,29.4,113,303.0,296.7,255.0,255.0,319.0,419.0,120,44.8,40.0,34.0,34.0,48.3,42.5,116,515.0,526.0,530.0,530.0,510.0,493.4,92,2.0,1.7,2.0,2.0,2.0,1.9,43,1.8,2.0,3.0,3.0,1.3,1.4,122,-22.6,54,127,123,109,--,19,123,114,98,-9.9,97,125,113
Illinois,2016,6,118,16.3,16.3,16.0,16.5,16.0,20.7,119,298.0,298.0,270.0,312.0,270.0,361.1,102,37.7,37.7,31.0,41.0,31.0,25.4,83,440.7,440.7,423.0,449.5,423.0,369.9,24,1.0,1.0,0.0,1.5,0.0,1.2,90,1.0,1.0,2.0,0.5,2.0,1.7,81,-6.0,26,106,92,63,--,42,85,65,41,0.0,39,115,70
Kansas,2016,6,119,15.7,15.7,19.0,21.0,13.0,13.2,124,280.7,280.7,296.0,232.0,305.0,309.3,121,45.0,45.0,55.0,37.0,49.0,46.5,113,503.7,503.7,621.0,496.0,507.5,569.7,128,3.7,3.7,2.0,3.0,4.0,2.0,90,1.0,1.0,2.0,1.0,1.0,1.6,109,-17.6,35,120,105,114,--,48,117,111,108,-11.9,71,127,121
LA Monroe,2016,6,120,15.0,15.0,7.0,--,15.0,18.8,108,317.0,317.0,251.0,--,317.0,287.3,123,46.7,46.7,58.0,--,46.7,39.6,126,581.3,581.3,688.0,--,581.3,437.9,76,1.7,1.7,2.0,--,1.7,2.5,90,1.0,1.0,1.0,--,1.0,1.0,112,-18.8,63,128,104,105,--,89,121,92,97,-9.9,95,128,100
Bowling Grn,2016,6,121,14.8,16.3,25.0,23.0,6.5,42.2,94,356.8,394.3,456.0,444.5,269.0,546.8,128,55.8,48.7,28.0,34.5,77.0,28.9,125,580.3,515.0,474.0,455.0,705.5,417.8,124,3.0,3.0,1.0,2.5,3.5,1.1,78,1.3,1.3,2.0,2.0,0.5,1.9,128,-33.6,66,128,128,121,--,75,124,122,115,-13.2,3,116,109
Arkansas St,2016,6,122,14.7,14.7,20.0,10.0,17.0,37.5,110,316.3,316.3,357.0,266.0,341.5,423.2,110,38.7,38.7,34.0,31.0,42.5,32.2,120,532.0,532.0,334.0,556.0,520.0,427.4,24,1.0,1.0,3.0,0.0,1.5,2.1,72,1.3,1.3,1.0,2.0,1.0,2.6,119,-20.8,21,120,119,102,--,10,114,106,78,-6.3,5,114,78
TX El Paso,2016,6,123,14.6,9.3,7.0,19.7,7.0,20.1,106,333.6,314.0,415.0,348.3,311.5,342.1,104,38.2,42.7,28.0,40.7,34.5,34.4,70,424.8,454.3,387.0,440.3,401.5,430.5,87,1.8,2.3,2.0,2.0,1.5,2.1,121,0.6,0.7,0.0,0.7,0.5,0.8,127,-29.3,98,128,127,112,--,86,117,116,107,-11.6,100,128,118
Rutgers,2016,6,124,14.3,14.7,0.0,22.0,6.5,23.8,122,288.3,283.0,116.0,366.5,210.0,362.3,99,37.0,33.3,58.0,21.0,53.0,36.9,96,466.5,495.3,669.0,408.5,524.5,486.8,43,1.3,0.7,0.0,1.0,1.5,1.5,90,1.0,1.0,1.0,1.0,1.0,1.4,92,-8.9,74,125,84,101,--,77,118,100,68,-3.8,2,85,67
S Carolina,2016,6,125,14.0,14.3,13.0,16.5,12.3,21.9,115,301.8,319.3,378.0,345.0,273.0,355.2,19,18.6,18.7,24.0,19.5,18.0,27.9,53,403.8,430.7,422.0,470.5,359.3,433.7,38,1.2,0.7,2.0,1.0,1.3,1.4,40,1.8,2.7,2.0,3.0,1.0,1.8,66,-1.3,5,92,72,69,--,3,99,77,24,2.8,3,67,35
Georgia State,2016,6,126,13.8,11.3,3.0,21.0,11.3,26.4,127,246.0,237.3,241.0,272.0,237.3,436.3,70,29.8,29.3,17.0,31.0,29.3,27.3,78,436.8,430.7,361.0,455.0,430.7,397.6,60,1.5,1.3,4.0,2.0,1.3,1.8,78,1.3,1.0,1.0,2.0,1.0,1.7,100,-11.7,75,124,100,84,--,76,119,90,42,-0.2,38,120,43
Buffalo,2016,6,127,13.3,13.3,3.0,23.0,8.5,24.5,128,231.0,231.0,67.0,265.0,214.0,379.1,72,31.0,31.0,35.0,20.0,36.5,28.8,89,455.0,455.0,400.0,444.0,460.5,426.5,10,0.7,0.7,1.0,1.0,0.5,1.8,72,1.3,1.3,2.0,2.0,1.0,1.5,123,-25.1,101,128,118,120,--,83,121,119,114,-13.0,99,127,117
Kent State,2016,6,127,13.3,13.3,27.0,27.0,6.5,10.2,121,289.3,289.3,423.0,423.0,222.5,250.9,101,37.3,37.3,31.0,31.0,40.5,27.3,61,411.3,411.3,378.0,378.0,428.0,384.9,54,1.3,1.3,0.0,0.0,2.0,1.6,72,1.3,1.3,3.0,3.0,0.5,1.4,113,-19.0,82,119,114,99,--,73,116,98,121,-13.9,22,123,119
Louisville,2016,7,1,58.0,52.7,36.0,66.5,52.3,27.3,1,659.2,596.0,568.0,596.5,701.0,404.2,48,26.4,30.0,42.0,17.0,32.7,25.8,16,324.0,332.7,507.0,246.0,376.0,344.1,118,2.6,2.3,3.0,2.0,3.0,2.1,9,2.4,3.0,5.0,1.5,3.0,1.8,3,32.5,1,38,2,25,--,5,99,21,2,12.1,2,106,5
Ohio State,2016,7,2,53.2,47.0,38.0,55.3,45.0,35.7,5,537.6,498.3,383.0,561.3,443.0,434.6,2,10.8,13.7,17.0,7.5,24.0,15.1,3,246.6,267.0,281.0,207.3,404.0,311.3,15,1.0,1.0,2.0,1.3,0.0,1.4,5,2.6,1.3,2.0,2.8,2.0,1.6,2,36.1,1,24,1,20,--,6,107,19,14,6.8,1,56,6
Texas Tech,2016,7,3,51.8,50.7,38.0,57.0,46.5,43.9,2,622.8,626.3,592.0,643.5,602.0,576.8,122,44.0,36.0,44.0,32.0,56.0,43.5,97,463.8,401.0,335.0,434.0,493.5,540.3,40,1.3,1.0,1.0,1.0,1.5,1.8,126,0.5,0.7,0.0,1.0,0.0,1.8,33,8.0,17,78,35,59,--,6,90,80,49,-1.1,32,88,81
Washington,2016,7,4,51.2,49.7,70.0,50.3,52.5,29.1,18,496.0,539.3,682.0,428.7,597.0,391.3,12,16.4,18.3,21.0,11.0,24.5,20.3,18,344.6,365.7,409.0,279.7,442.0,363.5,4,0.6,0.3,0.0,0.7,0.5,1.8,5,2.6,2.3,2.0,2.7,2.5,2.2,4,27.6,1,48,9,21,--,2,58,30,36,1.2,8,103,34
Michigan,2016,7,5,50.0,47.0,78.0,44.4,78.0,31.4,28,470.0,488.0,600.0,444.0,600.0,395.8,1,10.3,5.7,0.0,12.4,0.0,16.4,1,212.8,129.7,39.0,247.6,39.0,280.5,6,0.7,0.7,1.0,0.6,1.0,1.2,51,1.7,2.0,1.0,1.8,1.0,0.9,1,37.8,1,56,3,19,--,10,61,61,18,5.3,2,75,18
Memphis,2016,7,6,45.5,46.3,34.0,51.3,28.0,38.3,34,457.5,478.7,327.0,452.0,474.0,484.4,25,21.3,26.0,27.0,12.3,48.0,29.0,84,440.8,483.0,531.0,379.7,624.0,430.9,40,1.3,1.7,1.0,0.3,4.0,1.2,1,3.5,2.7,3.0,4.3,1.0,1.6,22,12.4,10,93,16,61,--,39,116,64,53,-1.8,52,128,52
Alabama,2016,7,7,44.8,43.7,49.0,40.0,49.7,33.6,20,489.8,502.3,517.0,488.3,491.3,428.8,9,15.8,12.0,30.0,5.3,26.3,15.8,8,293.3,266.7,473.0,188.7,398.0,286.5,46,1.3,1.3,3.0,0.7,2.0,1.2,23,2.2,2.7,5.0,1.7,2.7,1.8,6,25.8,1,29,4,1,54.6,1,20,1,9,8.8,1,40,9
Wash State,2016,7,8,44.3,49.7,42.0,53.5,35.0,32.7,6,534.5,539.3,458.0,580.0,489.0,474.5,26,21.5,18.3,16.0,19.5,23.5,28.0,22,347.3,323.0,296.0,336.5,358.0,427.3,15,1.0,1.0,2.0,0.5,1.5,1.9,8,2.5,2.3,3.0,2.0,3.0,2.0,17,14.3,8,119,34,26,--,26,103,32,26,3.3,21,91,47
Houston,2016,7,9,43.8,48.7,40.0,42.0,44.3,39.5,15,500.6,529.0,484.0,540.0,490.8,474.8,21,20.4,21.0,46.0,14.0,22.0,20.5,12,311.8,286.3,382.0,335.0,306.0,386.8,48,1.4,1.0,3.0,0.0,1.8,1.0,90,1.2,0.3,0.0,0.0,1.5,2.6,12,18.2,5,74,6,6,24.1,2,45,5,35,1.2,8,66,27
Toledo,2016,7,10,42.8,46.7,35.0,52.0,39.7,35.0,4,583.5,592.7,467.0,619.0,571.7,463.1,44,25.5,30.7,20.0,17.0,28.3,20.8,25,355.8,385.7,317.0,254.0,389.7,375.3,15,1.0,0.7,0.0,0.0,1.3,1.2,126,0.5,0.7,2.0,0.0,0.7,1.8,27,10.8,3,96,26,37,--,3,67,39,77,-5.0,57,125,74
Mississippi,2016,7,11,42.5,45.3,48.0,45.3,34.0,37.9,11,510.3,553.7,624.0,553.7,380.0,506.5,91,33.8,30.0,28.0,30.0,45.0,24.3,109,485.5,454.0,474.0,454.0,580.0,393.8,94,2.0,1.3,1.0,1.3,4.0,1.8,47,1.8,2.3,4.0,2.3,0.0,1.8,14,16.2,9,84,13,16,4.2,7,65,13,7,9.8,2,15,7
California,2016,7,12,42.3,37.7,44.0,39.0,44.0,35.0,7,530.2,480.0,441.0,434.5,578.0,518.2,114,40.0,40.3,47.0,33.0,43.5,32.1,116,494.7,485.0,559.0,505.0,489.5,466.8,58,1.5,1.7,1.0,0.5,2.0,1.7,51,1.7,1.0,2.0,1.0,2.0,1.8,58,0.7,1,87,54,14,6.5,1,125,15,44,-0.2,23,113,44
S Florida,2016,7,13,42.2,39.3,38.0,40.3,45.0,32.2,10,514.4,486.7,556.0,554.7,454.0,433.2,55,26.8,32.3,22.0,31.3,20.0,24.6,103,476.6,505.3,476.0,480.3,471.0,397.0,11,0.8,1.0,1.0,1.3,0.0,1.2,36,1.8,2.0,1.0,0.7,3.5,1.9,18,13.0,10,61,21,27,--,20,65,23,57,-2.5,45,100,48
Texas,2016,7,14,41.0,38.0,40.0,45.5,38.0,26.4,16,498.8,520.3,425.0,466.5,520.3,370.8,109,39.6,48.0,45.0,27.0,48.0,30.3,104,477.2,578.0,672.0,326.0,578.0,452.6,48,1.4,1.7,2.0,1.0,1.7,1.2,99,1.0,1.3,4.0,0.5,1.3,2.1,53,1.8,18,77,57,12,9.1,10,72,72,21,3.9,20,40,28
Oklahoma,2016,7,15,40.6,40.3,45.0,41.5,40.0,43.5,8,528.6,536.7,672.0,522.0,533.0,530.2,98,36.2,43.7,40.0,31.0,39.7,22.0,75,428.4,460.7,425.0,396.5,449.7,364.8,108,2.2,2.7,4.0,1.5,2.7,1.4,99,1.0,1.0,2.0,0.5,1.3,2.1,29,10.6,2,59,17,13,7.2,3,41,12,5,10.4,1,18,1
VA Tech,2016,7,16,40.3,45.7,34.0,51.5,29.0,30.1,72,400.5,400.7,264.0,469.0,332.0,368.7,11,16.3,6.7,3.0,8.5,24.0,28.3,5,257.0,232.7,131.0,283.5,230.5,379.6,94,2.0,1.0,2.0,0.5,3.5,1.8,25,2.0,2.3,4.0,1.5,2.5,1.8,9,20.3,7,84,15,124,-6.5,24,125,124,25,3.4,19,97,39
W Michigan,2016,7,17,39.8,47.7,45.0,47.0,35.0,34.7,37,451.4,468.0,573.0,490.0,425.7,479.3,21,20.4,23.7,30.0,30.5,13.7,29.0,23,353.0,377.0,484.0,427.0,303.7,417.6,1,0.0,0.0,0.0,0.0,0.0,1.3,18,2.2,2.7,2.0,3.0,1.7,1.4,13,17.7,8,92,10,28,--,24,117,24,65,-3.6,35,87,46
Baylor,2016,7,18,39.5,39.3,45.0,37.5,41.5,46.6,3,586.0,602.7,647.0,529.5,642.5,602.7,28,22.3,25.3,42.0,18.5,26.0,28.1,58,406.8,407.3,465.0,448.5,365.0,401.3,58,1.5,1.0,0.0,2.5,0.5,1.8,16,2.3,1.7,0.0,4.0,0.5,2.0,24,11.2,6,116,28,39,--,11,126,41,80,-5.2,13,111,73
Pittsburgh,2016,7,19,39.2,38.7,37.0,40.7,37.0,26.8,31,463.8,453.3,407.0,457.0,474.0,370.8,99,36.4,32.7,34.0,33.3,41.0,25.2,88,446.4,395.3,371.0,373.7,555.5,359.5,15,1.0,0.7,1.0,1.0,1.0,1.1,55,1.6,0.7,0.0,1.7,1.5,1.3,45,5.3,18,85,47,41,--,36,100,38,38,0.5,15,102,33
Arizona St,2016,7,20,38.8,31.3,23.0,47.3,26.0,34.6,46,430.6,344.0,275.0,460.3,386.0,472.9,103,37.0,34.0,20.0,38.7,34.5,34.5,119,507.4,534.3,443.0,564.0,422.5,474.9,68,1.6,1.7,3.0,1.3,2.0,1.4,36,1.8,2.3,4.0,3.0,0.0,1.8,48,4.1,38,90,58,79,--,48,93,88,42,0.0,33,103,58
Nebraska,2016,7,21,37.0,30.0,31.0,40.3,24.0,32.8,26,472.6,469.0,423.0,451.8,556.0,446.9,14,17.6,20.3,16.0,18.8,13.0,27.8,20,346.8,380.0,270.0,336.5,388.0,400.4,33,1.2,1.7,2.0,1.0,2.0,2.1,25,2.0,0.7,0.0,2.0,2.0,1.2,23,11.7,9,78,20,30,--,25,105,26,72,-4.5,22,106,62
S Mississippi,2016,7,21,37.0,36.7,32.0,37.5,36.7,39.0,9,522.4,545.7,557.0,561.5,496.3,509.2,81,32.4,30.0,55.0,32.5,32.3,27.1,36,377.6,378.7,532.0,327.5,411.0,394.2,124,2.8,2.7,3.0,3.0,2.7,1.8,76,1.4,1.0,0.0,0.5,2.0,1.8,81,-5.4,34,119,49,80,--,25,116,46,109,-11.3,51,113,103
Boise State,2016,7,23,36.8,36.0,49.0,26.0,44.0,38.0,27,471.2,450.7,456.0,402.0,517.3,493.9,17,18.6,18.3,21.0,19.0,18.3,21.9,31,370.6,355.3,421.0,439.0,325.0,320.0,33,1.2,1.0,0.0,2.0,0.7,1.8,121,0.6,0.7,1.0,0.5,0.7,2.5,19,12.8,8,81,30,29,--,13,121,27,60,-3.1,35,74,69
Troy,2016,7,24,36.8,41.0,34.0,52.0,31.7,26.5,47,429.3,443.7,530.0,492.0,408.3,358.6,19,20.0,16.7,13.0,6.0,24.7,29.4,59,407.3,405.0,255.0,539.0,363.3,392.8,80,1.8,1.3,3.0,0.0,2.3,1.7,2,3.3,3.3,2.0,5.0,2.7,1.6,25,11.2,14,90,27,34,--,20,110,31,58,-2.7,23,124,56
Oklahoma St,2016,7,25,36.6,37.0,38.0,39.8,24.0,40.2,17,496.8,502.0,459.0,498.0,492.0,471.8,85,33.0,32.3,31.0,32.5,35.0,32.3,117,496.8,513.0,448.0,490.3,523.0,457.3,48,1.4,1.3,0.0,0.8,4.0,1.2,36,1.8,2.0,3.0,1.8,2.0,2.3,49,3.7,13,64,33,49,--,2,62,47,48,-0.9,16,78,32
TX Christian,2016,7,26,36.4,34.3,24.0,41.7,28.5,39.8,13,504.4,489.7,366.0,522.3,477.5,557.5,59,27.8,26.0,23.0,37.7,13.0,28.9,66,416.4,441.3,470.0,430.7,395.0,417.7,68,1.6,2.0,4.0,1.0,2.5,1.5,55,1.6,2.7,4.0,0.7,3.0,1.3,44,5.6,33,89,38,42,--,19,107,25,64,-3.6,17,93,49
LA Tech,2016,7,26,36.4,39.0,55.0,41.5,33.0,35.5,22,486.6,523.3,561.0,474.0,495.0,474.3,95,35.4,32.3,52.0,29.5,39.3,27.8,101,471.6,465.0,427.0,421.0,505.3,384.3,2,0.4,0.3,0.0,0.0,0.7,1.6,90,1.2,1.3,2.0,2.0,0.7,1.6,74,-3.9,24,97,72,57,--,20,94,58,66,-3.8,26,94,71
Akron,2016,7,28,35.8,34.7,35.0,36.5,35.3,21.6,81,382.2,387.7,299.0,392.5,375.3,336.3,95,35.4,28.3,13.0,29.0,39.7,22.5,107,483.2,423.3,260.0,423.5,523.0,342.3,68,1.6,1.7,0.0,1.0,2.0,1.3,55,1.6,1.3,3.0,2.0,1.3,2.2,71,-3.3,71,127,79,65,--,65,116,68,93,-8.2,62,123,80
Colorado,2016,7,29,35.4,35.0,17.0,47.0,32.5,22.7,23,486.0,509.0,371.0,563.0,466.8,377.6,37,23.4,21.7,21.0,6.0,27.8,29.8,37,379.0,424.3,539.0,226.0,417.3,437.8,15,1.0,1.0,1.0,0.0,1.3,1.7,9,2.4,2.3,4.0,2.0,2.5,1.6,15,16.0,2,60,12,5,25.7,1,84,6,19,5.2,9,115,19
Florida St,2016,7,30,35.0,36.7,20.0,35.0,35.0,30.0,14,502.6,549.7,407.0,595.0,479.5,423.7,104,37.6,30.3,19.0,37.0,37.8,17.8,78,434.8,421.3,276.0,538.0,409.0,342.6,11,0.8,0.7,1.0,0.0,1.0,1.2,36,1.8,1.3,1.0,1.0,2.0,1.1,30,10.3,5,64,24,3,27.1,3,64,4,1,13.1,1,22,3
Texas A&M,2016,7,31,34.8,38.0,45.0,38.0,32.7,26.7,12,505.0,535.0,592.0,517.0,497.0,411.5,35,23.0,25.0,38.0,31.0,17.7,22.4,108,484.0,517.7,684.0,576.0,422.7,386.5,83,1.8,2.3,3.0,2.5,1.3,1.8,3,3.2,4.0,7.0,5.0,2.0,1.4,7,23.8,6,63,7,4,26.7,3,49,3,12,7.8,2,30,14
Tulsa,2016,7,32,34.8,31.3,43.0,44.0,25.5,37.2,29,469.8,455.7,562.0,537.0,402.5,507.4,93,34.8,43.0,40.0,25.0,44.5,39.8,50,392.3,427.3,412.0,349.5,435.0,537.3,113,2.3,3.0,1.0,0.5,4.0,1.5,63,1.5,1.0,0.0,1.5,1.5,1.8,65,-1.6,10,90,52,88,--,3,98,82,99,-9.6,26,101,84
Clemson,2016,7,33,34.6,41.3,56.0,36.0,33.7,37.7,36,453.0,484.0,503.0,460.5,448.0,513.7,15,18.0,17.7,10.0,30.0,10.0,22.5,15,318.2,314.3,251.0,477.0,212.3,320.1,117,2.4,2.3,1.0,4.0,1.3,1.8,9,2.4,2.0,2.0,3.0,2.0,1.8,5,26.7,1,34,8,22,--,2,28,22,3,11.4,1,17,4
Central FL,2016,7,34,34.5,41.3,47.0,24.0,38.0,13.8,59,415.0,443.0,373.0,455.0,401.7,268.2,75,31.0,24.3,29.0,30.0,31.3,39.6,41,382.5,361.0,521.0,373.0,385.7,482.4,94,2.0,2.0,2.0,4.0,1.3,2.6,63,1.5,2.0,5.0,0.0,2.0,1.1,36,7.0,27,104,40,32,--,32,127,33,54,-2.0,53,125,55
Miami (FL),2016,7,35,34.3,33.0,19.0,28.5,40.0,26.3,60,412.5,393.3,276.0,373.0,452.0,398.5,6,15.3,17.0,20.0,15.0,15.5,30.5,10,305.8,336.3,407.0,310.5,301.0,432.0,15,1.0,0.7,1.0,1.5,0.5,1.0,63,1.5,1.7,1.0,1.0,2.0,1.9,8,21.2,4,37,5,23,--,7,51,20,22,3.9,15,118,30
San Diego St,2016,7,35,34.3,30.7,26.0,35.5,33.0,31.8,62,410.8,393.3,460.0,461.5,360.0,381.1,68,29.3,25.7,7.0,23.5,35.0,17.5,28,358.3,276.3,122.0,363.0,353.5,295.0,58,1.5,1.3,1.0,1.5,1.5,0.8,25,2.0,1.3,1.0,2.5,1.5,2.2,68,-2.0,14,84,75,82,--,4,85,85,96,-8.8,47,106,87
Kansas St,2016,7,37,34.0,41.0,44.0,53.5,14.5,29.6,91,362.8,372.0,335.0,415.0,310.5,333.6,27,22.0,20.7,38.0,22.5,21.5,34.1,33,374.3,408.3,592.0,401.5,347.0,467.8,15,1.0,0.7,0.0,0.5,1.5,1.5,25,2.0,2.3,1.0,2.5,1.5,1.2,26,11.0,8,56,18,46,--,8,56,42,31,2.4,1,47,22
Tennessee,2016,7,38,33.8,36.7,38.0,28.7,39.0,33.5,44,432.0,513.0,684.0,407.0,457.0,420.7,54,26.7,34.7,45.0,20.0,33.3,20.8,55,399.3,462.0,592.0,337.3,461.3,370.0,122,2.7,4.0,7.0,1.7,3.7,1.0,23,2.2,2.3,3.0,1.0,3.3,1.3,16,15.4,7,49,19,2,36.9,2,51,2,8,8.9,5,64,17
W Kentucky,2016,7,39,33.8,37.7,52.0,38.0,31.0,44.3,40,443.0,442.3,427.0,572.5,356.7,526.9,81,32.4,36.7,55.0,22.5,39.0,25.9,74,427.4,458.0,561.0,338.5,486.7,405.3,94,2.0,2.7,2.0,1.5,2.3,1.2,99,1.0,0.7,0.0,1.5,0.7,2.2,63,-0.6,2,91,51,66,--,6,77,65,73,-4.6,10,116,70
Maryland,2016,7,40,33.8,31.3,14.0,50.0,28.3,22.4,70,404.0,379.7,270.0,496.0,373.3,365.5,23,20.8,23.0,38.0,7.0,25.3,35.6,45,389.0,394.7,524.0,205.0,450.3,434.4,15,1.0,1.3,2.0,2.0,0.7,3.2,47,1.8,2.0,1.0,1.0,2.0,1.6,39,6.5,25,106,25,56,--,20,119,37,69,-4.4,53,119,91
Notre Dame,2016,7,41,33.7,29.3,3.0,34.0,33.3,34.2,45,431.7,433.7,113.0,459.7,403.7,466.8,70,29.5,27.0,10.0,28.0,31.0,24.1,67,417.2,395.0,198.0,433.0,401.3,373.1,91,1.8,2.3,3.0,2.3,1.3,1.5,99,1.0,1.0,2.0,1.0,1.0,1.1,55,1.2,15,70,53,10,11.0,9,63,10,47,-0.7,9,58,57
Oregon,2016,7,42,33.6,30.7,21.0,34.3,32.5,41.5,21,489.4,444.3,409.0,516.3,449.0,522.2,123,44.6,54.0,70.0,45.7,43.0,37.2,125,548.4,642.0,682.0,554.3,539.5,480.0,15,1.0,1.7,2.0,1.0,1.0,1.3,99,1.0,0.7,0.0,1.3,0.5,1.7,64,-1.2,23,85,48,50,--,15,72,54,20,4.8,14,111,20
Middle Tenn,2016,7,43,33.3,36.3,30.0,38.0,31.7,31.0,19,490.3,488.7,477.0,553.0,469.3,448.1,64,28.8,22.7,13.0,34.0,27.0,27.7,73,426.8,454.3,308.0,622.0,361.7,416.3,40,1.3,1.0,1.0,0.0,1.7,2.3,63,1.5,1.7,0.0,1.0,1.7,2.0,61,-0.1,16,126,65,73,--,34,127,77,104,-9.9,54,108,104
Auburn,2016,7,44,32.3,38.0,38.0,31.2,38.0,27.5,25,479.2,502.7,432.0,488.6,432.0,367.4,10,16.0,11.3,14.0,16.4,14.0,26.5,21,346.8,292.7,289.0,358.4,289.0,402.4,58,1.5,1.3,2.0,1.4,2.0,1.2,83,1.3,2.0,3.0,1.0,3.0,1.5,11,19.1,3,51,14,24,--,23,62,62,10,8.4,7,30,11
Air Force,2016,7,45,32.3,27.0,26.0,38.0,26.5,31.5,65,406.0,364.3,337.0,480.5,331.5,446.3,23,20.8,23.0,35.0,14.0,27.5,26.9,13,315.5,364.3,362.0,243.0,388.0,367.2,40,1.3,1.7,4.0,0.5,2.0,1.8,63,1.5,2.0,1.0,1.5,1.5,1.2,51,2.6,39,109,42,68,--,40,126,43,88,-6.8,69,127,88
New Mexico,2016,7,46,32.0,32.3,21.0,34.5,29.5,26.9,50,427.5,458.0,421.0,456.0,399.0,377.9,110,39.8,42.3,49.0,45.0,34.5,30.8,45,389.0,416.3,456.0,449.5,328.5,468.7,58,1.5,1.3,1.0,1.0,2.0,1.8,126,0.5,0.7,0.0,0.5,0.5,1.8,108,-16.7,63,124,101,109,--,16,118,104,125,-15.8,98,127,127
Temple,2016,7,46,32.0,40.0,27.0,35.3,27.0,29.8,77,396.2,468.7,531.0,375.3,427.5,367.1,56,27.2,24.7,34.0,22.7,34.0,20.1,27,358.2,348.0,327.0,353.7,365.0,336.5,94,2.0,2.0,3.0,2.0,2.0,1.4,36,1.8,2.0,1.0,1.7,2.0,1.6,47,4.2,13,119,71,52,--,37,115,67,71,-4.5,51,96,96
