,Rank_Scoring_Offense,Team,Current_Season_Scoring_Offense,Last 3_Scoring_Offense,Last 1_Scoring_Offense,At_Home_Scoring_Offense,Away_Scoring_Offense,Previous_Season_Scoring_Offense,Season,Week,Rank_Total_Offense,Current_Season_Total_Offense,Last 3_Total_Offense,Last 1_Total_Offense,At_Home_Total_Offense,Away_Total_Offense,Previous_Season_Total_Offense,Rank_Scoring_Defense,Current_Season_Scoring_Defense,Last 3_Scoring_Defense,Last 1_Scoring_Defense,At_Home_Scoring_Defense,Away_Scoring_Defense,Previous_Season_Scoring_Defense,Rank_Total_Defense,Current_Season_Total_Defense,Last 3_Total_Defense,Last 1_Total_Defense,At_Home_Total_Defense,Away_Total_Defense,Previous_Season_Total_Defense,Rank_Turnovers_Given,Current_Season_Turnovers_Given,Last 3_Turnovers_Given,Last 1_Turnovers_Given,At_Home_Turnovers_Given,Away_Turnovers_Given,Previous_Season_Turnovers_Given,Rank_Turnovers_Taken,Current_Season_Turnovers_Taken,Last 3_Turnovers_Taken,Last 1_Turnovers_Taken,At_Home_Turnovers_Taken,Away_Turnovers_Taken,Previous_Season_Turnovers_Taken,Rank_Last_5,Rating_Last_5,Hi_Last_5,Low_Last_5,Last_Last_5,Rank_Neutral_Site,Rating_Neutral_Site,Hi_Neutral_Site,Low_Neutral_Site,Last_Neutral_Site,Rank_SoS,Rating_SoS,Hi_SoS,Low_SoS,Last_SoS
75,,Kansas,23.3,21.7,7.0,35.0,11.5,27.6,2010,6,,342.3,349.0,270.0,412.5,272.0,410.5,,31.8,34.0,55.0,20.5,43.0,30.7,,431.5,439.3,681.0,341.5,521.5,394.2,,1.3,1.3,4.0,0.5,2.0,2.0,,0.5,0.3,0.0,0.5,0.5,1.4,107,-17.4,75,117,86,110,--,41,117,95,102,-9.1,39,110,102
76,,S Florida,23.0,23.0,31.0,27.5,14.0,22.3,2010,6,,301.7,301.7,292.0,287.5,330.0,349.7,,17.7,17.7,3.0,7.5,38.0,22.7,,315.0,315.0,208.0,261.0,423.0,344.0,,2.0,2.0,0.0,0.5,5.0,1.9,,1.3,1.3,3.0,2.0,0.0,1.7,46,2.1,4,70,56,67,--,21,80,60,76,-5.9,16,97,58
77,,W Virginia,23.0,23.0,14.0,31.0,19.0,25.6,2010,6,,374.7,374.7,178.0,477.0,323.5,370.7,,19.3,19.3,20.0,17.0,20.5,21.8,,272.3,272.3,236.0,217.0,300.0,339.6,,1.7,1.7,2.0,1.0,2.0,2.1,,1.0,1.0,2.0,0.0,1.5,1.8,41,2.9,15,62,38,52,--,13,108,45,42,-2.0,13,88,32
78,,Colorado,22.8,22.3,29.0,30.0,15.5,22.3,2010,6,,353.3,368.7,395.0,432.5,274.0,314.2,,23.8,30.7,27.0,20.0,27.5,28.8,,336.8,367.3,409.0,373.0,300.5,363.0,,2.3,2.7,1.0,1.5,3.0,2.7,,2.0,1.7,2.0,2.0,2.0,2.0,65,-2.2,33,101,76,10,4.6,4,68,8,41,-1.5,20,77,57
79,,Middle Tenn,22.7,22.7,34.0,17.0,25.5,32.0,2010,6,,352.3,352.3,424.0,318.0,369.5,421.7,,20.7,20.7,14.0,24.0,19.0,23.7,,355.0,355.0,340.0,435.0,315.0,355.3,,2.3,2.3,1.0,2.0,2.5,1.6,,0.7,0.7,2.0,0.0,1.0,2.5,100,-13.5,85,114,96,82,--,64,115,74,119,-17.6,49,120,117
80,,Miami (OH),22.2,23.7,27.0,28.7,12.5,15.6,2010,6,,312.2,332.7,354.0,343.7,265.0,343.5,,27.4,27.3,21.0,17.3,42.5,34.2,,331.0,355.3,287.0,305.0,370.0,377.9,,1.8,1.3,1.0,0.7,3.5,3.0,,2.4,2.3,2.0,3.0,1.5,1.0,86,-10.7,57,106,87,91,--,10,108,86,104,-9.8,1,111,94
81,,UNLV,21.8,26.0,26.0,30.7,8.5,23.6,2010,6,,286.8,299.3,294.0,309.3,253.0,340.8,,32.6,28.0,44.0,31.7,34.0,35.1,,390.4,379.7,516.0,427.3,335.0,476.9,,1.0,1.3,2.0,0.7,1.5,1.7,,2.0,2.3,3.0,2.7,1.0,1.4,90,-11.9,57,117,94,100,--,82,109,99,49,-3.0,10,94,68
82,,Utah State,21.5,20.7,31.0,27.5,15.5,26.9,2010,6,,353.5,331.0,436.0,374.0,333.0,424.4,,32.3,32.7,16.0,28.5,36.0,34.0,,408.5,406.0,335.0,357.0,460.0,463.1,,1.3,0.7,1.0,0.5,2.0,1.1,,2.0,2.0,2.0,2.0,2.0,1.6,82,-8.4,1,109,98,84,--,13,97,83,62,-4.7,9,97,71
83,,Rice,21.2,19.0,31.0,19.0,24.5,18.3,2010,6,,328.2,356.3,396.0,356.3,286.0,304.6,,33.4,34.0,42.0,34.0,32.5,43.1,,434.4,460.3,472.0,460.3,395.5,464.0,,2.2,2.7,2.0,2.7,1.5,2.3,,1.6,1.3,1.0,1.3,2.0,1.5,103,-15.0,68,111,101,118,-8.7,100,118,117,58,-4.4,5,116,53
84,,Toledo,21.0,27.7,15.0,8.5,29.3,29.7,2010,6,,287.2,342.0,374.0,279.5,292.3,437.9,,23.6,21.3,20.0,30.5,19.0,37.7,,352.4,353.0,273.0,396.5,323.0,407.4,,1.8,1.7,1.0,1.5,2.0,2.6,,3.2,3.7,2.0,1.5,4.3,1.8,81,-8.2,72,120,73,48,--,47,116,48,78,-6.6,28,109,52
85,,Cincinnati,20.7,20.7,29.0,29.0,16.5,36.0,2010,6,,363.3,363.3,461.0,461.0,314.5,436.6,,29.7,29.7,31.0,31.0,29.0,24.8,,416.3,416.3,457.0,457.0,396.0,390.5,,2.0,2.0,4.0,4.0,1.0,0.8,,1.3,1.3,1.0,1.0,1.5,1.3,62,-1.1,27,90,57,78,--,16,102,71,20,2.2,14,50,15
86,,Wash State,20.5,21.7,28.0,16.0,22.0,12.0,2010,6,,345.3,352.3,384.0,323.0,352.7,248.7,,48.0,42.3,42.0,50.0,47.3,38.5,,537.8,535.0,569.0,613.0,512.7,511.8,,1.5,1.3,1.0,3.0,1.0,2.6,,1.5,2.0,2.0,3.0,1.0,2.0,114,-23.0,48,120,117,102,--,66,115,109,92,-7.9,15,110,105
87,,LA Lafayette,20.0,24.3,28.0,22.5,17.5,20.4,2010,6,,319.8,383.0,353.0,398.0,241.5,345.8,,35.0,28.3,27.0,29.0,41.0,31.4,,415.8,428.7,406.0,440.0,391.5,406.7,,1.3,0.7,0.0,1.0,1.5,1.9,,1.5,1.7,1.0,2.0,1.0,2.1,112,-22.8,30,116,116,109,--,79,113,112,108,-10.5,4,110,97
88,,E Michigan,19.8,17.0,17.0,19.3,20.5,16.4,2010,6,,323.8,326.7,374.0,349.7,285.0,278.3,,42.8,51.7,30.0,37.7,50.5,38.3,,464.6,531.7,423.0,441.7,499.0,426.8,,2.0,1.3,1.0,2.0,2.0,2.2,,1.2,1.3,2.0,1.3,1.0,1.9,117,-25.9,91,120,114,106,--,85,119,105,94,-8.1,64,119,64
89,,Florida Intl,19.8,21.7,17.0,14.0,21.7,22.9,2010,6,,347.8,340.0,316.0,371.0,340.0,321.7,,33.0,37.7,44.0,19.0,37.7,35.3,,371.3,430.0,469.0,195.0,430.0,491.6,,2.3,1.3,1.0,5.0,1.3,1.8,,2.0,2.0,1.0,2.0,2.0,1.4,87,-11.0,59,96,75,86,--,52,114,69,29,0.9,15,114,19
90,,Central FL,19.3,19.3,13.0,21.0,18.5,26.0,2010,6,,313.3,313.3,344.0,308.0,316.0,345.8,,18.3,18.3,17.0,28.0,13.5,22.4,,282.0,282.0,276.0,244.0,301.0,358.0,,2.0,2.0,2.0,4.0,1.0,1.5,,1.0,1.0,1.0,0.0,1.5,2.3,50,1.1,22,105,53,45,--,13,71,52,61,-4.7,61,115,61
91,,Marshall,19.2,22.7,16.0,22.5,17.0,21.0,2010,6,,300.0,312.3,170.0,377.5,248.3,345.8,,35.4,36.0,41.0,23.5,43.3,24.0,,423.8,373.3,396.0,400.0,439.7,376.8,,2.0,2.0,1.0,0.5,3.0,1.8,,1.0,1.0,0.0,1.5,0.7,1.2,104,-15.3,81,119,93,105,--,82,120,100,50,-3.2,1,97,47
92,,Navy,19.0,19.0,6.0,--,19.0,27.5,2010,6,,438.3,438.3,312.0,--,438.3,358.8,,18.0,18.0,14.0,--,18.0,19.5,,351.0,351.0,376.0,--,351.0,332.5,,1.7,1.7,2.0,--,1.7,1.0,,2.3,2.3,2.0,--,2.3,1.6,76,-4.9,29,89,78,115,-5.3,8,118,115,69,-5.2,34,97,95
93,,Tennessee,19.0,21.0,14.0,20.7,14.0,29.3,2010,6,,281.3,264.0,217.0,302.7,217.0,383.6,,31.0,25.3,16.0,36.0,16.0,22.2,,442.8,440.0,434.0,445.7,434.0,318.8,,1.0,1.0,0.0,1.3,0.0,1.6,,2.0,2.3,4.0,1.3,4.0,1.8,51,1.0,14,77,62,23,--,22,60,58,9,4.3,4,87,23
94,,Purdue,18.7,18.7,20.0,22.0,12.0,27.8,2010,6,,365.0,365.0,370.0,386.5,322.0,391.3,,22.3,22.3,31.0,22.0,23.0,29.1,,332.7,332.7,380.0,318.0,362.0,376.6,,2.0,2.0,3.0,2.0,2.0,2.4,,1.7,1.7,2.0,2.0,1.0,2.0,99,-13.2,76,119,100,73,--,55,98,75,113,-12.1,26,114,113
95,,Ohio,18.3,20.0,30.0,13.0,20.0,24.5,2010,6,,276.8,308.0,423.0,183.0,308.0,300.9,,26.0,28.0,17.0,20.0,28.0,22.2,,357.3,401.3,374.0,225.0,401.3,356.0,,3.0,2.7,2.0,4.0,2.7,1.6,,1.3,1.0,1.0,2.0,1.0,2.7,91,-12.2,61,116,90,85,--,66,120,80,112,-12.0,76,118,96
96,,Vanderbilt,18.3,17.3,21.0,12.0,24.5,13.7,2010,6,,303.0,260.0,327.0,289.5,316.5,278.7,,26.0,27.0,40.0,25.0,27.0,25.5,,379.8,384.0,375.0,379.5,380.0,385.3,,1.3,1.3,3.0,1.0,1.5,1.4,,1.8,2.0,2.0,1.0,2.5,1.4,72,-4.1,48,110,59,50,--,24,89,25,16,3.1,16,76,17
97,,Illinois,18.0,18.0,13.0,20.5,13.0,22.3,2010,6,,307.3,307.3,251.0,320.5,281.0,379.5,,23.0,23.0,24.0,23.0,23.0,31.4,,353.0,353.0,290.0,340.0,379.0,403.7,,1.7,1.7,1.0,0.5,4.0,1.6,,1.0,1.0,2.0,1.0,1.0,1.2,53,0.6,22,74,65,114,-0.1,11,118,114,38,-0.8,21,97,84
98,,LA Tech,18.0,18.7,21.0,17.5,18.5,27.5,2010,6,,338.0,358.3,350.0,362.5,313.5,355.4,,34.8,30.3,41.0,25.0,44.5,26.9,,539.8,530.7,649.0,471.5,608.0,377.0,,3.3,3.0,3.0,3.0,3.5,1.1,,2.0,1.3,2.0,1.0,3.0,1.5,106,-17.0,45,108,105,119,-15.2,78,119,119,87,-7.5,70,102,100
99,,North Texas,17.8,16.0,27.0,29.0,10.3,26.6,2010,6,,379.6,338.0,406.0,414.0,356.7,408.8,,27.2,23.0,28.0,30.0,25.3,35.6,,366.2,351.7,353.0,353.0,375.0,412.4,,2.0,1.7,1.0,2.0,2.0,2.4,,0.8,0.7,0.0,0.5,1.0,1.3,108,-18.0,82,113,103,98,--,73,111,94,110,-11.1,13,115,83
100,,W Kentucky,17.8,20.3,12.0,21.0,16.7,21.6,2010,6,,296.8,295.3,314.0,288.0,299.7,324.8,,43.5,41.7,24.0,38.0,45.3,40.6,,442.5,411.3,283.0,469.0,433.7,484.7,,1.0,1.0,1.0,0.0,1.3,2.2,,0.5,0.7,1.0,1.0,0.3,1.3,111,-20.2,7,113,109,101,--,71,117,98,33,0.6,3,117,28
101,,Tulane,17.7,17.7,17.0,13.0,20.0,13.7,2010,6,,297.3,297.3,248.0,312.0,290.0,301.5,,27.7,27.7,14.0,27.0,28.0,37.1,,359.7,359.7,353.0,376.0,351.5,418.3,,1.7,1.7,0.0,2.0,1.5,2.2,,1.7,1.7,1.0,1.0,2.0,0.7,93,-12.5,91,120,108,72,--,63,120,87,101,-8.8,93,120,112
102,,Fla Atlantic,17.3,12.3,3.0,17.0,17.3,27.4,2010,6,,303.3,288.7,208.0,357.0,285.3,431.1,,28.3,27.3,31.0,21.0,30.7,33.8,,374.0,357.3,292.0,407.0,363.0,453.3,,1.8,2.0,3.0,2.0,1.7,1.3,,1.3,1.3,0.0,2.0,1.0,1.3,101,-14.9,33,116,95,117,-8.5,96,118,118,72,-5.7,37,108,87
103,,W Michigan,17.0,17.0,13.0,18.5,14.0,24.7,2010,6,,309.0,309.0,184.0,300.0,327.0,377.3,,36.0,36.0,33.0,35.0,38.0,29.1,,412.0,412.0,479.0,375.5,485.0,427.9,,3.7,3.7,3.0,4.5,2.0,2.3,,2.3,2.3,4.0,3.0,1.0,1.8,109,-18.1,49,113,102,97,--,50,109,96,114,-12.2,21,114,111
104,,Buffalo,16.3,19.7,28.0,10.0,18.3,22.6,2010,6,,365.5,379.0,443.0,326.0,378.7,396.1,,32.3,31.7,26.0,24.0,35.0,25.6,,340.0,289.0,176.0,288.0,357.3,354.3,,3.5,4.0,6.0,2.0,4.0,2.3,,2.5,2.7,5.0,0.0,3.3,1.5,97,-13.2,74,120,106,94,--,69,109,104,80,-6.6,73,120,90
105,,Memphis,15.6,14.7,7.0,15.5,15.7,20.1,2010,6,,287.8,262.3,209.0,249.5,313.3,365.2,,35.8,27.0,48.0,32.5,38.0,36.7,,410.6,352.3,454.0,384.5,428.0,462.2,,2.0,2.0,4.0,2.0,2.0,2.1,,1.2,1.7,0.0,2.0,0.7,1.5,115,-24.0,66,120,107,107,--,87,114,103,75,-5.9,13,113,59
106,,Rutgers,15.3,15.3,14.0,13.5,19.0,26.2,2010,6,,264.0,264.0,353.0,298.5,195.0,305.2,,16.0,16.0,17.0,17.0,14.0,20.5,,308.7,308.7,248.0,277.5,371.0,328.3,,1.7,1.7,1.0,1.5,2.0,1.2,,2.7,2.7,0.0,1.5,5.0,2.5,80,-7.6,59,108,61,71,--,47,114,62,109,-10.8,47,112,81
107,,BYU,15.2,13.0,16.0,18.0,13.3,35.5,2010,6,,313.0,282.0,335.0,365.0,278.3,427.5,,28.8,30.7,31.0,22.0,33.3,21.5,,435.0,434.0,436.0,414.5,448.7,328.2,,1.4,1.3,2.0,0.0,2.3,1.8,,1.0,1.3,1.0,1.0,1.0,1.8,83,-8.9,16,89,80,93,--,8,93,84,13,3.7,5,64,5
108,,Ball State,14.7,14.7,31.0,--,14.7,19.5,2010,6,,269.0,269.0,437.0,--,269.0,309.1,,28.7,28.7,17.0,--,28.7,28.6,,446.0,446.0,371.0,--,446.0,392.5,,1.7,1.7,1.0,--,1.7,2.1,,1.7,1.7,4.0,--,1.7,1.7,102,-14.9,100,117,115,83,--,67,115,110,107,-10.3,84,120,116
109,,Virginia,14.0,14.0,14.0,14.0,14.0,19.8,2010,6,,322.0,322.0,304.0,304.0,340.0,269.7,,25.5,25.5,34.0,34.0,17.0,26.4,,378.5,378.5,428.0,428.0,329.0,362.9,,1.5,1.5,2.0,2.0,1.0,1.2,,1.0,1.0,1.0,1.0,1.0,1.7,67,-2.5,47,98,47,36,--,22,81,33,68,-5.1,43,109,78
110,,Penn State,13.0,16.3,3.0,23.0,3.0,26.9,2010,6,,351.8,374.7,301.0,411.5,292.0,394.8,,15.3,12.3,24.0,6.5,24.0,13.0,,299.0,262.3,349.0,219.0,379.0,280.2,,2.3,1.7,1.0,2.0,2.5,1.3,,2.0,2.3,1.0,3.0,1.0,1.8,44,2.5,15,70,41,58,--,15,68,47,23,1.6,20,95,40
111,,Boston Col,13.0,13.0,13.0,13.0,--,22.3,2010,6,,275.7,275.7,270.0,275.7,--,314.2,,21.0,21.0,31.0,21.0,--,21.4,,288.3,288.3,316.0,288.3,--,344.0,,2.3,2.3,2.0,2.3,--,2.2,,3.0,3.0,3.0,3.0,--,1.9,88,-11.2,42,91,82,61,--,33,94,59,84,-7.3,32,117,92
112,,New Mexico,12.2,14.7,20.0,17.0,5.0,16.3,2010,6,,265.2,252.7,237.0,300.0,213.0,315.3,,52.6,46.3,38.0,48.7,58.5,35.9,,493.8,429.0,442.0,444.0,568.5,418.3,,3.0,2.3,3.0,2.3,4.0,2.2,,1.6,1.7,2.0,2.3,0.5,1.7,120,-37.3,95,120,120,113,--,90,116,113,82,-6.8,6,115,38
113,,Akron,11.8,14.7,14.0,8.5,15.0,17.3,2010,6,,232.5,254.7,257.0,211.5,253.5,288.6,,40.3,44.0,50.0,39.5,41.0,31.4,,481.5,497.7,520.0,476.5,486.5,389.5,,0.5,0.7,2.0,1.0,0.0,2.2,,1.0,0.3,1.0,2.0,0.0,1.5,118,-31.0,99,120,118,108,--,70,108,107,115,-12.7,44,117,110
114,,N Mex State,11.8,8.7,0.0,10.5,13.0,10.7,2010,6,,276.8,259.7,208.0,268.0,285.5,224.0,,46.0,47.7,59.0,50.0,42.0,32.8,,544.3,536.0,610.0,589.5,499.0,436.1,,1.3,1.3,3.0,2.0,0.5,2.3,,0.0,0.0,0.0,0.0,0.0,1.3,119,-33.6,59,120,119,112,--,60,118,111,59,-4.5,54,119,56
115,,Wyoming,11.8,13.3,20.0,10.0,13.5,17.4,2010,6,,232.8,224.7,273.0,200.5,265.0,299.0,,30.0,28.7,15.0,35.5,24.5,27.8,,469.8,496.7,374.0,558.0,381.5,391.3,,1.5,2.0,2.0,2.0,1.0,1.1,,0.8,1.0,1.0,1.0,0.5,1.4,95,-13.1,58,110,104,80,--,78,100,93,55,-4.0,45,105,55
116,,Kent State,11.3,11.3,21.0,--,11.3,19.4,2010,6,,241.7,241.7,287.0,--,241.7,326.3,,25.7,25.7,27.0,--,25.7,24.5,,348.3,348.3,354.0,--,348.3,371.5,,3.0,3.0,2.0,--,3.0,2.4,,2.0,2.0,1.0,--,2.0,2.2,92,-12.2,74,111,85,95,--,70,110,90,98,-8.4,68,119,82
117,,Colorado St,11.0,15.3,0.0,18.0,6.3,21.5,2010,6,,295.6,320.3,161.0,327.5,274.3,354.9,,33.4,30.7,27.0,30.5,35.3,30.5,,440.0,420.3,474.0,467.5,421.7,394.3,,2.2,2.3,2.0,1.5,2.7,1.5,,0.4,0.3,0.0,0.5,0.3,1.5,110,-19.2,83,118,113,120,-23.1,90,120,120,39,-1.2,36,104,54
118,,LA Monroe,10.0,10.0,3.0,7.0,11.5,22.6,2010,6,,284.3,284.3,270.0,192.0,330.5,374.2,,39.0,39.0,52.0,31.0,43.0,29.8,,495.0,495.0,505.0,499.0,493.0,369.8,,2.7,2.7,4.0,2.0,3.0,2.5,,1.7,1.7,1.0,3.0,1.0,1.7,116,-24.6,9,116,112,111,--,58,111,106,106,-10.2,5,114,109
119,,San Jose St,6.7,6.7,3.0,--,6.7,13.3,2010,6,,218.0,218.0,172.0,--,218.0,272.2,,43.7,43.7,56.0,--,43.7,36.8,,475.7,475.7,427.0,--,475.7,454.6,,1.0,1.0,0.0,--,1.0,2.2,,1.0,1.0,0.0,--,1.0,1.7,113,-23.0,2,115,111,103,--,80,115,101,116,-13.8,2,118,86
120,,Idaho ,,,,,,,2010,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,2.8,6,111,54,68,--,8,105,81,97,-8.4,56,120,101
0,,Oklahoma St,52.6,52.3,54.0,52.3,54.0,26.1,2010,7,,530.6,525.0,496.0,539.3,496.0,349.6,,29.2,30.3,28.0,29.5,28.0,23.0,,405.4,444.0,369.0,414.5,369.0,338.4,,2.2,2.0,2.0,2.3,2.0,2.2,,3.2,3.3,2.0,3.5,2.0,2.3,16,14.5,4,62,15,32,--,2,60,60,78,-6.0,28,107,71
1,,Oregon,51.4,45.7,43.0,62.0,44.3,36.1,2010,7,,545.0,518.0,542.0,673.0,459.7,412.0,,19.6,28.3,23.0,15.5,22.3,23.8,,383.8,483.7,336.0,326.5,422.0,336.3,,2.0,2.7,3.0,2.0,2.0,1.8,,3.4,3.7,1.0,4.0,3.0,1.9,2,25.7,1,21,1,21,--,7,47,17,14,3.8,2,60,6
2,,Utah,49.0,60.0,68.0,40.3,62.0,29.8,2010,7,,438.2,482.7,593.0,390.0,510.5,389.5,,15.6,14.7,27.0,12.3,20.5,20.2,,267.0,250.0,348.0,252.3,289.0,313.8,,1.8,1.7,2.0,1.3,2.5,1.5,,1.2,1.0,2.0,1.0,1.5,1.9,7,20.0,1,70,14,19,--,9,49,21,88,-7.3,28,108,105
3,,Nebraska,47.8,47.3,48.0,43.5,52.0,25.1,2010,7,,532.3,531.0,587.0,503.5,561.0,322.8,,15.3,17.0,13.0,13.5,17.0,10.4,,285.8,280.7,317.0,290.0,281.5,271.7,,1.3,1.7,0.0,2.0,0.5,1.6,,2.5,3.0,1.0,3.5,1.5,2.0,8,19.8,4,36,12,17,--,7,44,14,51,-2.8,9,91,60
4,,Boise State,47.4,51.0,57.0,47.0,47.7,42.8,2010,7,,525.2,527.3,500.0,486.0,551.3,455.8,,14.8,12.7,14.0,19.0,12.0,17.2,,241.4,244.0,287.0,262.0,227.7,305.3,,0.8,0.3,0.0,0.5,1.0,1.0,,2.0,2.7,5.0,2.5,1.7,2.7,1,27.1,1,57,3,4,14.9,1,56,4,18,3.5,1,30,15
5,,Ohio State,43.2,45.0,38.0,47.0,24.0,29.0,2010,7,,469.2,475.7,490.0,505.0,290.0,369.0,,13.5,14.3,10.0,13.6,13.0,12.5,,238.3,236.3,210.0,235.8,251.0,262.3,,1.2,1.7,2.0,1.0,2.0,1.4,,2.8,1.7,3.0,3.2,1.0,2.7,6,20.4,1,46,6,25,--,4,56,24,38,-1.2,5,98,34
6,,Nevada,41.8,35.3,35.0,46.0,35.5,38.2,2010,7,,544.4,530.3,640.0,590.3,475.5,506.2,,17.8,17.3,13.0,16.7,19.5,28.5,,352.0,328.7,372.0,382.0,307.0,409.9,,1.4,2.3,2.0,0.7,2.5,1.6,,1.8,1.7,3.0,2.3,1.0,1.4,12,16.0,11,112,13,29,--,21,111,25,64,-4.2,42,117,47
7,,Stanford,41.6,35.0,37.0,52.5,34.3,35.5,2010,7,,459.8,466.7,478.0,506.5,428.7,427.6,,25.0,33.7,35.0,29.5,22.0,26.5,,398.2,491.7,498.0,390.5,403.3,402.7,,1.8,3.0,3.0,1.5,2.0,1.3,,2.4,2.0,1.0,1.5,3.0,1.3,4,23.4,1,54,4,20,--,2,55,18,4,6.7,1,99,3
8,,E Carolina,37.6,29.3,44.0,50.0,29.3,26.8,2010,7,,402.6,350.0,342.0,481.5,350.0,373.2,,42.0,44.7,43.0,38.0,44.7,21.8,,458.0,432.0,404.0,497.0,432.0,388.5,,2.0,3.0,4.0,0.5,3.0,1.6,,1.0,0.3,0.0,2.0,0.3,2.5,79,-5.9,55,110,79,78,--,56,119,88,40,-1.4,36,86,43
9,,TX Christian,37.6,37.7,45.0,45.0,32.7,36.8,2010,7,,487.6,475.7,578.0,568.0,434.0,452.4,,11.0,8.0,0.0,5.0,15.0,12.1,,246.2,237.7,191.0,227.0,259.0,238.9,,0.8,0.7,0.0,0.0,1.3,1.8,,0.8,1.3,1.0,0.5,1.0,1.9,3,23.7,1,96,5,2,19.2,1,15,2,33,0.3,4,46,36
10,,Texas Tech,36.8,32.3,45.0,24.5,45.0,36.9,2010,7,,441.4,436.0,635.0,301.0,535.0,472.9,,31.6,38.0,38.0,25.5,35.7,23.3,,411.0,431.7,507.0,323.5,469.3,365.2,,1.8,2.0,1.0,1.5,2.0,2.3,,2.2,1.3,0.0,4.0,1.0,1.9,54,-0.1,25,73,64,9,10.0,9,65,65,49,-2.6,12,75,48
11,,VA Tech,36.8,35.0,45.0,47.0,30.0,31.8,2010,7,,390.4,396.7,406.0,427.0,366.0,392.1,,22.2,17.0,21.0,24.0,21.0,15.6,,380.8,386.0,401.0,381.0,380.7,295.5,,0.8,1.0,1.0,1.0,0.7,1.2,,2.2,2.3,1.0,1.5,2.7,1.8,27,8.8,8,76,23,1,21.3,1,57,1,16,3.5,2,35,12
12,,Auburn,36.7,41.3,37.0,41.5,27.0,30.8,2010,7,,484.0,507.3,523.0,507.8,436.5,413.2,,21.3,21.3,34.0,20.0,24.0,27.3,,334.8,330.0,336.0,356.8,291.0,383.1,,1.7,1.3,1.0,1.8,1.5,1.8,,1.8,3.0,1.0,2.0,1.5,1.9,15,14.7,3,35,17,28,--,1,35,30,19,3.3,1,70,32
13,,Michigan,36.4,41.3,17.0,37.3,35.0,26.5,2010,7,,535.8,557.3,377.0,524.3,553.0,353.4,,24.8,30.0,34.0,21.7,29.5,29.5,,457.0,469.0,537.0,394.0,551.5,409.5,,1.2,2.0,3.0,1.7,0.5,2.5,,1.4,1.0,0.0,1.0,2.0,1.5,48,1.8,10,90,24,39,--,21,119,37,53,-2.8,15,68,51
14,,Kentucky,36.0,27.7,34.0,48.0,24.0,25.2,2010,7,,434.3,370.7,336.0,454.0,414.7,322.2,,30.2,42.3,37.0,25.0,35.3,23.6,,344.5,431.3,523.0,326.3,362.7,368.5,,1.0,2.0,1.0,0.3,1.7,1.7,,1.0,0.7,1.0,1.0,1.0,1.7,49,1.8,22,62,45,69,--,12,103,70,29,1.3,19,92,40
15,,USC,35.7,38.7,35.0,24.0,41.5,26.5,2010,7,,476.2,531.7,498.0,406.5,511.0,389.2,,26.0,28.3,37.0,23.0,27.5,19.8,,432.0,445.7,478.0,438.0,429.0,340.5,,1.7,1.7,1.0,1.0,2.0,1.7,,1.7,2.3,3.0,1.0,2.0,1.7,30,7.4,4,89,31,27,--,1,48,27,31,1.2,6,66,63
16,,Troy,35.6,36.7,42.0,32.5,37.7,33.7,2010,7,,488.0,532.7,527.0,488.0,488.0,487.7,,28.6,25.0,13.0,27.5,29.3,29.8,,410.6,397.3,207.0,389.5,424.7,426.7,,1.8,1.0,0.0,1.5,2.0,2.1,,3.0,2.7,2.0,2.0,3.7,1.6,53,-0.1,52,108,73,40,--,5,79,55,82,-6.6,34,109,77
17,,NC State,35.4,39.7,44.0,34.7,36.5,25.4,2010,7,,438.6,485.3,422.0,474.0,385.5,376.5,,25.2,28.7,17.0,25.7,24.5,35.3,,354.2,359.3,275.0,366.7,335.5,408.6,,1.8,2.3,2.0,2.3,1.0,2.4,,2.2,2.0,3.0,1.7,3.0,1.1,21,13.0,16,50,22,24,--,3,80,20,30,1.2,23,113,28
18,,Tulsa,35.2,31.3,18.0,33.0,35.8,26.8,2010,7,,474.6,415.3,364.0,548.0,456.3,400.5,,32.8,31.0,21.0,20.0,36.0,29.5,,452.6,474.0,487.0,303.0,490.0,411.2,,1.2,1.0,0.0,1.0,1.3,2.0,,2.2,2.3,2.0,3.0,2.0,1.7,67,-3.0,27,88,66,68,--,33,96,64,83,-6.6,33,91,89
19,,Alabama,35.0,25.3,21.0,34.3,35.7,31.1,2010,7,,446.2,349.0,351.0,425.7,466.7,401.5,,13.3,20.3,35.0,4.0,22.7,12.6,,298.0,342.7,326.0,246.3,349.7,256.6,,1.2,1.0,1.0,0.7,1.7,0.9,,2.3,2.7,1.0,3.0,1.7,2.2,5,23.1,2,27,2,23,--,1,41,16,3,7.9,1,78,5
20,,Mississippi,34.5,37.0,42.0,37.0,27.0,26.7,2010,7,,411.0,422.7,305.0,422.7,376.0,391.5,,28.5,33.7,35.0,33.7,13.0,19.1,,373.0,393.3,424.0,393.3,312.0,312.3,,1.5,1.7,0.0,1.7,1.0,2.5,,1.5,1.3,3.0,1.3,2.0,1.6,76,-5.4,44,113,77,63,--,40,93,53,97,-8.4,38,115,93
